"","X","date","likeCount","year","popularity","time","word","sentiment"
"116",47668,17,0,2018,"normal",1,"fake","negative"
"117",47677,17,0,2018,"normal",1,"attack","negative"
"118",47680,17,0,2018,"normal",1,"burns","negative"
"119",47682,17,0,2018,"normal",1,"bomb","negative"
"120",47686,17,0,2018,"normal",1,"supporting","positive"
"121",47699,17,0,2018,"normal",1,"handsome","positive"
"122",47706,17,0,2018,"normal",1,"fake","negative"
"123",47708,17,0,2018,"normal",1,"fake","negative"
"124",47714,17,4,2018,"good",1,"trump","positive"
"125",47716,17,4,2018,"good",1,"accomplished","positive"
"126",47718,17,0,2018,"normal",1,"ashamed","negative"
"127",47719,17,0,2018,"normal",1,"joke","negative"
"128",47722,17,0,2018,"normal",1,"attack","negative"
"129",47727,17,0,2018,"normal",1,"bogus","negative"
"130",47734,17,0,2018,"normal",1,"fake","negative"
"131",47741,17,0,2018,"normal",1,"refuses","negative"
"132",47745,17,0,2018,"normal",1,"ready","positive"
"133",47747,17,0,2018,"normal",1,"ready","positive"
"134",47751,17,0,2018,"normal",1,"lies","negative"
"135",47753,17,0,2018,"normal",1,"lead","positive"
"136",47759,17,0,2018,"normal",1,"hates","negative"
"137",47764,17,0,2018,"normal",1,"nicest","positive"
"138",47767,17,0,2018,"normal",1,"idiot","negative"
"139",47769,17,0,2018,"normal",1,"hard","negative"
"140",47776,17,0,2018,"normal",1,"attacks","negative"
"141",47778,17,0,2018,"normal",1,"heinous","negative"
"142",47786,17,0,2018,"normal",1,"valuable","positive"
"143",47792,17,0,2018,"normal",1,"protect","positive"
"144",47794,17,0,2018,"normal",1,"worth","positive"
"145",47795,17,0,2018,"normal",1,"trouble","negative"
"146",47800,17,0,2018,"normal",1,"bad","negative"
"147",47808,17,1,2018,"normal",1,"smart","positive"
"148",47809,17,1,2018,"normal",1,"blow","negative"
"149",47814,17,0,2018,"normal",1,"stupid","negative"
"150",47826,17,0,2018,"normal",1,"falling","negative"
"151",47833,17,0,2018,"normal",1,"damn","negative"
"152",47835,17,0,2018,"normal",1,"collusion","negative"
"153",47837,17,0,2018,"normal",1,"trump","positive"
"154",47838,17,0,2018,"normal",1,"stupid","negative"
"155",47845,17,0,2018,"normal",1,"attack","negative"
"156",47846,17,0,2018,"normal",1,"trump","positive"
"157",47855,17,0,2018,"normal",1,"lie","negative"
"158",47860,17,0,2018,"normal",1,"fake","negative"
"159",47868,17,0,2018,"normal",1,"leakage","negative"
