,textOriginal,date,likeCount,year,popularity,time
31,world war iii had begin,2014/9/24,0,2014,normal,1
32,heres why talking shit to get attention will not save the childrens that the isis is slitting their throats <U+00A0> great video with no action,2014/9/24,0,2014,normal,1
33,cant you see truth when its right in your face boom terorrist threats all of you politicly active people your under watch every wher you go listened in on no matter what you say or do they know it all property id cards sorry socal security cards i mean wait security is that ward realy in there tied to your name a nine digit number used every where u go that matters work docters and so forth did you know that resently the government passed that m s will be in the hands of school cops along with other free millitary gear this was put out there on our news local chanel  good morning america show a week ago in the foot notes running across the bottom of the screen right hear in winchester ky damd and where will it stop it wont it will eventualy lead to home to late already did hell i dont see police anymore i see millitary men posing as polic the war has hit home drons are over our heads to figure it out yey or are you a little slllllooooooowwwww,2014/9/24,0,2014,normal,1
34,this is shit i would fuck shoot obama he is fuck stupid he just starded a fuck war a war fuck obama,2014/9/24,0,2014,normal,1
35,this is shit i would fuck shoot obama he is fuck stupid he just starded a fuck war a war fuck obama,2014/9/24,0,2014,normal,1
36,pussies in iraq wouldnt defend themselves bomb the piss out of em all fing cowards,2014/9/24,0,2014,normal,1
37,researchdo you do it vox isis never defeated syria it started out as the fsa or free syrian army they were led by the al nusra<U+00A0> front terrorists group but were defeated by assads saa syrian arab army so they changed their name to isis and have taken control of parts of iraq these isis people are know criminals from countries like afghanistan iraq jordan qatar yemen turkey and saudi arabia,2014/9/24,0,2014,normal,1
38,its ok if america fails iran will clear them out eventually when they try to attack iran they are just waiting for isis first move towards iran so that they can fight back on the ground,2014/9/24,0,2014,normal,1
39,their doing this because of  and isis is capturing america and  british people and killing them for no reason,2014/9/24,0,2014,normal,1
40,may allah help us defeat isis,2014/9/24,33,2014,good,1
41,let them kill eachother isis is adorable if they think that their men are enough to be an actual threat to america or russia or canada or putin<U+00A0>,2014/9/24,0,2014,normal,1
42,and the  profit from selling arms munitions and equipment what a way to make money as history repeats itself if they claim they do it for religion i would believe it if they worship money,2014/9/24,1,2014,normal,1
43,its just like any other war we havge fought we will win if a democrat is in the white house  republicans have never won a war abroad they ndo not know how if i was president obama<U+00A0> i would isolate isis in iraq then destroy them there and move into syria anhd pound them there till everyone walking with an ak gets a  pound bomb then clean it up with special forces and kill bagdady there leader then wherever they go hit them there like they did with bin dead laden it worked once and it will work again this guy in the video is from bullshit mountaingop greed over people,2014/9/24,0,2014,normal,1
44,after a resounding success in iraq and afghanistan our heroes will stay there for  or more years until the whole country is destroyed will declare mission accomplished,2014/9/24,0,2014,normal,1
45,no not fuck allah its like saying imagine a christian starts believing to much in his own shit and kills people for no reason i woudent say fuck jesus but infact i say fuck this isis shit its nothing to do with the islamic way prophet muhammad said when a enemy surenders you leave them alone and let them go no matter what has happend but these guys kill inoccent babies which in my oponion is fuck i mean chopping heads st century dont work <U+00A0>,2014/9/23,0,2014,normal,1
46,its funny how everyone thinks he is an expert on the internet specialy youtubbers<U+00A0>,2014/9/23,0,2014,normal,1
47,thank you obama for finely taking initiative to do something against those terrorists,2014/9/23,0,2014,normal,1
48,bullshit this video is as for  the narrator  a fuck jackass,2014/9/23,0,2014,normal,1
49,islamic allah is an evil<U+00A0> isis is the result,2014/9/23,0,2014,normal,1
50,this is just going to fuel retaliation on their part then more bombing from the us then back and forth like a military pingpong gamewhen does it end,2014/9/23,3,2014,good,1
51,in other words we are fuck ,2014/9/23,0,2014,normal,1
52,america bombs isis makes assad strong america supports moderate rebels  russia supports assad  finally beginning of world war  russia china are even planning to drop paper money if this happens even gulf countries will have to take up gold n silver currency coz its mentioned in the hadiths  arabs will hav no more excuse that paper money is only way as they will be forces by sharia to take up gold n silver money and collaps of dollar will coz world war ,2014/9/23,0,2014,normal,1
53,this is exactly what happend with los zetas drug cartel in mexico<U+00A0> obama and his little bitch eric holder and the cia supplied weapons and training to los zetas to fight the cartel they were working for the zetas get greedy and <U+00A0>thus <U+00A0>the slave becomes the master<U+00A0> in war the saying goes<U+00A0><U+00A0><U+00A0>to the victor go the spoils we have been in  or so wars since vietnam we have lost brothers fathers sisters and mothers and have nothing to show for except a bankrupt government<U+00A0>,2014/9/23,0,2014,normal,1
54,lets sigh a petition for obama to watch this,2014/9/23,0,2014,normal,1
55,obviously it wont destroy isis you could kill countless amounts of them and more would join because its founded by radical muslims who are brainwashed from the day they were born to praise allah so they want to fight for allah but prolonged airstrikes by many countries could hopefully weaken them until they are a much smaller threat and can be dealt with by countries like iraq and syria alone this is from a brit ,2014/9/23,0,2014,normal,1
56,zionists making yet another war through isis  we are facing massive scale war  america will destroy this planet america waged<U+00A0> all wars in the last  yrs starting with bombing<U+00A0> japan with atomic bomb ,2014/9/23,0,2014,normal,1
57,us created isis<U+00A0> as pretext<U+00A0> to start ww<U+00A0> america wants to drag iran into this conflict  america warmongering monster which<U+00A0> <U+00A0>burning<U+00A0>the entire <U+00A0>planet fuck america ,2014/9/23,51,2014,popular,1
58,god bless the earth and send jesus to us to tell these people there is one god and jesus is a prophet of islam<U+00A0>,2014/9/23,0,2014,normal,1
59,always small muslim <U+00A0>groups had win and they will always win because you guys dont know how to fight this is media that cause all these not muslims muslims are good they had never killed indians and took a land from them they never throw the nuke to kill innocent they did not gop to iraq to kill over a million iraqis <U+00A0>and like that they have nukes what freedom we dont have first freedom this is making money people<U+00A0>,2014/9/23,0,2014,normal,1
60,poor america army being forced to attack other peoples country which far away from their country syria people has no plan to attack america why america want to destroy syria america government is controlled by zionist in palestine hope america army the good people of america will aware and not let them being controlled and masterminded by zionist leader zionist is in progress of creating the great israel by attacking the country nearby palestine through his proxy america government  america people wake up through away your puppet government,2014/9/23,2,2014,good,1
61,just curious arent the just is now islamic state buggers change their names too often they learned that from blackwater im sure,2014/9/23,0,2014,normal,1
62,mission is degrade and ultimately destroy not destroy separating the two into operations degradeod and operation ultimately destroyoud will give you a better understanding of what the president sets out to accomplish in syria od can be accomplished by air power aimed at destroying isis heavy weapons coalition is aimed at reducing flow of resources to isis if the income is less than expenditure there will be failure on the part of isis<U+00A0> the question has been what or who is isis my response is simple deactivation of the self proclaimed caliph and his generals degrade isis and upgrade moderate rebels the strategy will work if more effort is put into implementing rather than fear,2014/9/23,0,2014,normal,1
63,why dont you sign up for the army and go to syria idiot your all mouth   your so stupid you believe anything you hear on tv   a regular moron   ,2014/9/23,0,2014,normal,1
64,isis was created by the america after our brutal invasion of iraq and our policy to purge the sunnies from power this was done by our cheney hand picked man al maliki used bloody force from which the isis emerged in syria isis were created and armed by us to get rid off assad but then isis had its own bloody and barbaric plans and now we need to go back and fight them you couldnt make this shit up if you were writing fictional comedy,2014/9/23,2,2014,good,1
